ID,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Vintage,Response
1557,Male,32,1,4,1,< 1 Year,No,2630,267,0
1558,Female,33,1,30,1,< 1 Year,No,42006,189,0
1559,Male,34,1,28,0,1-2 Year,Yes,43977,156,0
1560,Female,22,1,30,0,< 1 Year,No,27744,255,0
1561,Male,33,1,9,1,1-2 Year,No,38042,205,0
1562,Male,47,1,31,0,1-2 Year,Yes,2630,183,1
1563,Female,24,1,41,0,< 1 Year,Yes,30838,94,0
1564,Male,24,1,2,1,< 1 Year,No,2630,44,0
1565,Male,23,1,28,1,< 1 Year,No,73176,13,0
1566,Female,40,1,33,0,1-2 Year,Yes,2630,251,0
1567,Female,73,1,28,0,> 2 Years,Yes,29932,10,0
1568,Male,48,1,3,1,1-2 Year,No,19565,89,0
1569,Male,53,1,29,0,1-2 Year,Yes,61662,105,1
1570,Male,29,1,28,0,< 1 Year,Yes,67466,75,1
1571,Male,24,1,30,1,< 1 Year,No,27627,155,0
1572,Female,26,1,15,1,< 1 Year,No,32866,13,0
1573,Female,26,1,29,0,1-2 Year,Yes,23111,205,1
1574,Female,22,1,2,1,< 1 Year,No,27504,260,0
1575,Male,26,1,47,1,< 1 Year,No,36805,101,0
1576,Male,58,1,28,0,1-2 Year,Yes,36819,65,0
1577,Female,42,1,48,0,1-2 Year,Yes,2630,140,0
1578,Male,46,1,28,1,1-2 Year,No,53493,96,0
1579,Male,21,1,49,0,< 1 Year,Yes,27160,210,0
1580,Female,50,1,8,0,1-2 Year,No,66482,277,0
1581,Male,42,1,10,0,1-2 Year,Yes,37283,73,0
1582,Female,27,1,14,0,1-2 Year,Yes,28579,188,1
1583,Female,27,1,28,1,< 1 Year,No,29709,85,0
1584,Male,40,1,37,0,1-2 Year,Yes,33994,20,0
1585,Male,63,1,39,1,1-2 Year,No,27970,250,0
1586,Male,67,1,28,0,1-2 Year,No,45029,285,0
1587,Male,46,1,8,0,1-2 Year,Yes,39197,253,0
1588,Female,66,1,19,0,1-2 Year,Yes,39097,202,0
1589,Male,69,1,8,0,1-2 Year,Yes,48589,65,0
1590,Female,24,1,30,1,< 1 Year,No,20641,46,0
1591,Male,31,1,23,0,< 1 Year,Yes,26262,92,1
1592,Male,21,1,46,1,< 1 Year,No,26741,217,0
1593,Female,21,1,47,1,< 1 Year,No,22822,273,0
1594,Male,25,1,31,0,< 1 Year,Yes,2630,123,0
1595,Male,32,1,28,0,1-2 Year,Yes,28331,173,1
1596,Female,27,1,8,1,< 1 Year,No,38545,94,0
1597,Female,23,1,28,0,1-2 Year,Yes,46009,132,0
1598,Female,57,1,46,1,1-2 Year,Yes,22687,261,0
1599,Male,23,1,28,0,< 1 Year,No,34863,11,0
1600,Male,39,1,28,0,1-2 Year,Yes,29938,263,0
1601,Male,49,1,28,1,1-2 Year,No,41246,148,0
1602,Female,31,1,28,0,< 1 Year,Yes,47492,112,0
1603,Male,44,1,8,0,1-2 Year,Yes,40578,13,0
1604,Male,53,1,28,0,1-2 Year,Yes,2630,83,0
1605,Male,51,1,28,0,1-2 Year,Yes,32537,139,0
1606,Male,22,1,7,0,< 1 Year,Yes,2630,201,0
1607,Female,42,1,28,1,1-2 Year,No,29656,228,0
1608,Male,44,1,8,0,1-2 Year,No,45042,156,0
1609,Female,31,1,8,0,< 1 Year,Yes,25498,195,1
1610,Female,42,1,8,0,1-2 Year,Yes,29277,141,1
1611,Female,42,1,24,0,1-2 Year,Yes,30580,249,0
1612,Female,47,1,28,1,1-2 Year,No,33884,62,0
1613,Male,55,1,15,0,1-2 Year,Yes,29994,215,1
1614,Male,20,1,3,1,1-2 Year,No,2630,26,0
1615,Female,21,1,8,0,< 1 Year,Yes,36608,145,0
1616,Female,47,1,30,1,1-2 Year,No,24168,127,0
1617,Male,56,1,28,0,1-2 Year,Yes,42057,172,0
1618,Male,27,1,48,1,< 1 Year,No,2630,133,0
1619,Male,70,1,46,1,1-2 Year,No,41979,257,0
1620,Male,42,1,3,1,1-2 Year,No,34135,191,0
1621,Male,49,1,28,0,1-2 Year,Yes,69967,245,0
1622,Female,21,1,2,0,< 1 Year,Yes,39806,75,0
1623,Female,51,1,8,0,1-2 Year,Yes,43536,283,0
1624,Male,36,1,14,1,1-2 Year,No,2630,121,0
1625,Female,65,1,28,0,1-2 Year,Yes,2630,218,0
1626,Female,25,1,26,0,< 1 Year,Yes,40677,51,0
1627,Female,24,1,33,0,< 1 Year,No,27832,143,0
1628,Female,22,1,32,0,< 1 Year,Yes,21947,259,0
1629,Male,55,1,28,0,> 2 Years,Yes,48743,93,0
1630,Male,24,1,8,1,< 1 Year,No,37734,168,0
1631,Male,21,1,3,1,< 1 Year,Yes,24132,69,0
1632,Male,49,1,28,0,1-2 Year,No,47598,205,1
1633,Female,29,1,29,1,< 1 Year,No,33988,142,0
1634,Male,34,1,28,0,1-2 Year,Yes,51692,75,0
1635,Male,43,1,3,1,1-2 Year,Yes,38104,61,0
1636,Male,25,1,41,1,< 1 Year,No,29041,171,0
1637,Male,55,1,28,0,1-2 Year,Yes,46443,298,1
1638,Male,31,1,8,0,< 1 Year,Yes,44628,289,1
1639,Female,58,1,28,0,1-2 Year,Yes,34015,11,0
1640,Male,55,1,29,0,1-2 Year,Yes,47438,297,0
1641,Male,53,1,46,0,1-2 Year,Yes,19387,134,0
1642,Male,47,1,21,0,1-2 Year,Yes,2630,31,0
1643,Male,32,1,6,0,< 1 Year,No,2630,264,1
1644,Male,22,1,28,0,< 1 Year,Yes,29112,290,0
1645,Female,25,1,14,0,< 1 Year,Yes,33931,152,0
1646,Male,50,1,3,1,1-2 Year,No,33709,142,0
1647,Male,46,1,8,0,1-2 Year,Yes,2630,259,0
1648,Female,22,1,41,1,< 1 Year,No,53538,35,0
1649,Male,53,1,41,0,1-2 Year,Yes,57259,297,0
1650,Female,23,1,36,1,< 1 Year,No,30603,285,0
1651,Male,23,1,8,1,< 1 Year,No,2630,51,0
1652,Male,22,1,28,1,< 1 Year,No,28004,164,0
1653,Male,62,1,28,0,> 2 Years,Yes,56310,28,0
1654,Male,64,1,39,1,1-2 Year,No,45167,214,0
1655,Female,57,1,28,0,1-2 Year,Yes,72357,27,0
1656,Female,42,1,46,0,1-2 Year,Yes,29354,50,0
1657,Female,23,1,47,0,< 1 Year,No,33501,42,0
1658,Male,48,1,28,0,1-2 Year,Yes,39312,113,0
1659,Female,53,1,8,0,1-2 Year,Yes,42065,160,0
1660,Female,24,1,34,0,< 1 Year,Yes,26425,279,0
1661,Female,23,1,11,1,< 1 Year,No,19224,197,0
1662,Male,51,1,38,0,> 2 Years,Yes,27670,48,1
1663,Male,41,1,50,0,1-2 Year,Yes,40261,50,0
1664,Male,38,1,28,0,1-2 Year,Yes,2630,68,0
1665,Female,21,1,35,1,< 1 Year,No,2630,252,0
1666,Female,32,1,46,0,< 1 Year,Yes,25537,293,0
1667,Female,50,1,8,1,1-2 Year,No,42385,292,0
1668,Male,26,1,5,0,< 1 Year,Yes,30610,81,0
1669,Male,32,1,28,0,1-2 Year,Yes,2630,225,1
1670,Male,57,1,28,0,1-2 Year,Yes,36603,246,1
1671,Female,29,1,36,0,< 1 Year,Yes,2630,72,0
1672,Male,76,1,28,0,> 2 Years,Yes,35430,280,0
1673,Male,23,1,8,0,< 1 Year,Yes,44892,265,1
1674,Male,21,1,28,0,< 1 Year,Yes,28261,46,0
1675,Female,34,1,15,1,1-2 Year,No,30739,159,0
1676,Female,76,1,29,0,1-2 Year,Yes,31075,77,0
1677,Male,42,1,50,1,1-2 Year,No,40420,180,0
1678,Male,72,1,28,1,1-2 Year,No,28629,201,0
1679,Male,23,1,46,0,< 1 Year,Yes,2630,64,0
1680,Female,27,1,32,1,< 1 Year,No,31404,75,0
1681,Male,23,1,2,1,< 1 Year,No,25510,284,0
1682,Female,40,1,28,0,1-2 Year,Yes,33128,115,0
1683,Male,38,1,28,1,1-2 Year,No,28308,256,0
1684,Female,38,1,28,1,1-2 Year,No,27811,283,0
1685,Female,29,1,10,1,< 1 Year,No,35335,59,0
1686,Female,25,1,33,1,< 1 Year,No,30355,236,0
1687,Female,33,1,8,0,1-2 Year,Yes,35053,252,0
1688,Female,25,1,41,1,< 1 Year,No,41563,53,0
1689,Female,39,1,28,0,1-2 Year,Yes,41327,101,1
1690,Female,21,1,36,1,< 1 Year,No,26313,55,0
1691,Female,73,1,38,0,1-2 Year,Yes,31898,27,1
1692,Male,53,1,48,0,1-2 Year,Yes,2630,51,0
1693,Male,30,1,15,0,< 1 Year,Yes,36282,211,0
1694,Female,22,1,11,1,< 1 Year,No,36226,215,0
1695,Male,29,1,28,0,< 1 Year,Yes,2630,276,0
1696,Female,24,1,11,1,< 1 Year,No,44910,115,0
1697,Male,25,1,21,0,< 1 Year,Yes,31788,73,0
1698,Male,47,1,19,0,1-2 Year,Yes,40958,173,1
1699,Female,27,1,21,1,< 1 Year,No,22708,254,0
1700,Male,24,1,29,1,< 1 Year,No,39831,118,0
1701,Male,21,1,46,1,< 1 Year,No,34912,180,0
1702,Male,46,1,8,0,1-2 Year,Yes,40864,232,1
1703,Female,23,1,28,0,< 1 Year,Yes,2630,153,0
1704,Male,24,1,11,1,< 1 Year,No,24420,268,0
1705,Male,26,1,28,1,< 1 Year,No,55904,67,0
1706,Female,47,1,28,0,1-2 Year,Yes,74869,156,1
1707,Male,42,1,28,0,1-2 Year,Yes,30832,162,0
1708,Male,25,1,21,1,< 1 Year,No,26377,245,0
1709,Male,28,1,8,1,< 1 Year,No,32347,58,0
1710,Male,43,1,33,0,1-2 Year,Yes,31399,159,1
1711,Male,24,1,36,1,< 1 Year,No,48003,89,0
1712,Female,20,1,8,0,< 1 Year,Yes,2630,111,0
1713,Male,28,1,26,0,< 1 Year,Yes,37142,176,0
1714,Male,71,1,36,0,1-2 Year,No,38295,40,0
1715,Male,28,1,6,1,< 1 Year,No,22989,66,0
1716,Male,25,1,25,0,< 1 Year,Yes,12368,275,0
1717,Male,24,1,30,0,< 1 Year,No,35791,32,0
1718,Male,49,1,19,0,1-2 Year,Yes,39421,277,1
1719,Female,48,1,9,0,1-2 Year,Yes,2630,299,0
1720,Female,27,1,29,1,< 1 Year,No,16168,177,0
1721,Female,29,1,21,1,< 1 Year,No,27509,134,0
1722,Female,47,1,28,0,1-2 Year,Yes,44200,51,1
1723,Male,37,1,46,0,1-2 Year,Yes,2630,238,0
1724,Female,50,1,46,0,1-2 Year,Yes,2630,56,1
1725,Female,42,1,28,0,1-2 Year,Yes,35647,234,0
1726,Male,49,1,8,0,1-2 Year,Yes,42089,116,0
1727,Female,28,1,15,1,< 1 Year,No,27292,189,0
1728,Female,54,1,28,1,1-2 Year,Yes,45823,249,0
1729,Male,64,1,28,0,1-2 Year,Yes,26678,93,0
1730,Female,23,1,33,1,< 1 Year,No,22917,111,0
1731,Female,38,1,28,0,1-2 Year,Yes,31311,56,1
1732,Male,21,1,2,1,< 1 Year,No,30468,276,0
1733,Male,69,1,28,0,> 2 Years,Yes,36588,51,0
1734,Male,46,1,28,0,1-2 Year,Yes,39465,59,1
1735,Female,42,1,38,1,1-2 Year,No,26934,161,0
1736,Male,46,1,28,0,> 2 Years,Yes,37116,91,0
1737,Male,26,1,29,0,< 1 Year,No,37020,188,1
1738,Female,29,1,28,1,< 1 Year,No,24799,136,0
1739,Female,40,1,41,0,1-2 Year,Yes,34957,253,0
1740,Female,22,1,25,1,< 1 Year,No,27669,200,0
1741,Male,33,1,28,1,< 1 Year,No,24901,169,0
1742,Male,40,1,46,0,1-2 Year,Yes,2630,263,0
1743,Male,56,1,28,0,1-2 Year,Yes,40797,27,0
1744,Female,39,1,2,0,1-2 Year,Yes,32116,222,0
1745,Female,29,1,28,1,< 1 Year,No,77859,100,0
1746,Male,75,1,8,1,1-2 Year,No,70885,186,0
1747,Male,37,1,28,1,1-2 Year,No,21041,258,0
1748,Female,25,1,10,1,< 1 Year,No,34365,270,0
1749,Male,28,1,28,0,< 1 Year,Yes,56112,48,0
1750,Female,51,1,46,1,1-2 Year,No,27022,277,0
1751,Female,24,1,41,1,< 1 Year,No,33205,151,0
1752,Female,30,1,12,1,< 1 Year,No,28549,226,0
1753,Female,39,1,41,0,1-2 Year,Yes,35919,143,0
1754,Female,53,1,48,1,1-2 Year,No,2630,29,0
1755,Female,48,1,28,0,1-2 Year,Yes,52033,256,1
1756,Male,42,1,50,1,1-2 Year,No,25038,123,0
1757,Male,66,1,0,1,1-2 Year,No,2630,236,0
1758,Female,21,1,27,0,< 1 Year,No,2630,139,0
1759,Male,52,1,28,0,1-2 Year,Yes,26665,217,0
1760,Female,50,1,50,1,1-2 Year,No,28606,77,0
1761,Male,57,1,41,0,> 2 Years,Yes,40014,122,0
1762,Female,58,0,28,0,1-2 Year,Yes,53047,214,0
1763,Female,55,1,49,0,1-2 Year,Yes,33006,149,0
1764,Female,24,1,29,1,< 1 Year,No,22225,290,0
1765,Female,47,1,28,1,1-2 Year,No,45559,45,0
1766,Female,26,1,8,1,< 1 Year,No,38339,90,0
1767,Female,46,1,24,0,1-2 Year,Yes,27867,85,1
1768,Male,42,1,29,0,1-2 Year,Yes,47489,155,1
1769,Female,45,1,43,0,1-2 Year,Yes,2630,173,0
1770,Male,72,1,29,0,1-2 Year,Yes,62752,81,0
1771,Male,26,1,46,0,< 1 Year,No,23380,179,0
1772,Male,22,1,32,1,< 1 Year,No,34640,94,0
1773,Female,31,1,18,0,< 1 Year,Yes,2630,166,1
1774,Male,22,1,47,0,< 1 Year,Yes,23147,175,0
1775,Female,42,1,8,0,1-2 Year,Yes,37927,258,1
1776,Female,37,1,28,0,1-2 Year,Yes,2630,195,1
1777,Male,80,1,48,1,1-2 Year,No,2630,145,0
1778,Female,22,1,2,0,< 1 Year,Yes,32451,258,0
1779,Male,24,1,46,1,< 1 Year,No,20843,193,0
1780,Female,32,1,28,0,< 1 Year,Yes,43828,213,1
1781,Male,27,1,3,0,< 1 Year,Yes,22062,197,1
1782,Female,49,1,24,0,1-2 Year,Yes,52452,122,0
1783,Male,24,1,14,1,< 1 Year,No,2630,222,0
1784,Male,30,1,6,0,< 1 Year,Yes,2630,219,0
1785,Female,64,1,28,0,1-2 Year,Yes,31168,35,0
1786,Female,29,1,15,1,< 1 Year,No,39670,46,0
1787,Male,61,1,28,0,> 2 Years,Yes,47651,18,0
1788,Female,43,1,28,0,1-2 Year,Yes,46782,294,0
1789,Male,22,1,3,1,< 1 Year,No,28305,217,0
1790,Female,24,1,3,1,< 1 Year,No,23038,283,0
1791,Male,73,1,26,1,1-2 Year,No,33641,77,0
1792,Male,31,1,8,0,< 1 Year,Yes,51354,226,0
1793,Male,31,1,50,0,1-2 Year,Yes,38229,269,0
1794,Female,58,1,28,0,> 2 Years,Yes,30911,191,0
1795,Female,42,1,47,0,1-2 Year,No,35845,284,0
1796,Male,24,1,6,1,< 1 Year,No,26312,12,0
1797,Female,41,1,28,0,1-2 Year,Yes,2630,10,1
1798,Male,23,1,32,0,< 1 Year,Yes,36975,42,0
1799,Male,33,1,38,0,< 1 Year,Yes,25042,109,0
1800,Male,45,1,0,0,1-2 Year,Yes,2630,284,0
1801,Male,47,1,46,0,1-2 Year,No,29030,19,0
1802,Male,24,1,2,0,< 1 Year,No,32942,148,0
1803,Female,21,1,28,0,< 1 Year,Yes,35688,116,0
1804,Female,23,1,35,1,< 1 Year,No,24116,75,0
1805,Female,23,1,11,0,< 1 Year,Yes,30348,23,0
1806,Male,60,1,24,1,1-2 Year,No,28900,55,0
1807,Male,69,1,28,0,1-2 Year,Yes,2630,38,1
1808,Male,49,1,39,0,1-2 Year,Yes,43707,264,1
1809,Female,25,1,36,1,< 1 Year,No,28987,13,0
1810,Female,24,1,6,1,< 1 Year,No,24495,24,0
1811,Male,40,1,29,0,1-2 Year,Yes,27932,27,1
1812,Male,61,1,0,0,1-2 Year,Yes,2630,223,1
1813,Male,21,1,2,0,< 1 Year,Yes,41930,145,0
1814,Female,33,1,5,1,< 1 Year,No,25937,222,0
1815,Female,34,1,28,0,1-2 Year,No,49205,146,0
1816,Female,57,1,28,0,1-2 Year,Yes,34244,75,1
1817,Male,57,1,28,1,1-2 Year,Yes,42224,270,0
1818,Female,39,1,28,0,> 2 Years,Yes,54762,194,0
1819,Female,23,1,37,1,< 1 Year,No,26098,239,0
1820,Male,28,1,41,1,< 1 Year,No,34553,98,0
1821,Female,25,1,36,1,< 1 Year,No,31841,208,0
1822,Female,38,1,22,0,1-2 Year,Yes,27922,54,1
1823,Female,64,1,17,0,1-2 Year,Yes,2630,233,0
1824,Male,22,1,30,1,< 1 Year,No,20940,12,0
1825,Female,22,1,39,1,< 1 Year,No,29595,228,0
1826,Female,22,1,21,1,< 1 Year,No,28683,244,0
1827,Female,23,1,3,1,< 1 Year,No,51794,189,0
1828,Female,62,1,28,1,1-2 Year,No,32920,212,0
1829,Male,41,1,28,1,1-2 Year,No,35895,92,0
1830,Female,25,1,39,1,< 1 Year,No,25502,90,0
1831,Male,31,1,46,0,< 1 Year,Yes,37120,270,0
1832,Female,46,1,28,0,1-2 Year,Yes,41332,65,0
1833,Male,53,1,29,0,1-2 Year,Yes,34656,281,0
1834,Male,46,1,28,0,1-2 Year,Yes,38409,298,1
1835,Female,24,1,28,1,< 1 Year,No,36251,89,0
1836,Female,23,1,8,1,< 1 Year,No,36254,123,0
1837,Female,28,1,28,0,1-2 Year,Yes,48442,253,1
1838,Male,21,1,34,0,< 1 Year,Yes,32832,292,0
1839,Male,23,1,45,0,< 1 Year,Yes,23068,116,0
1840,Male,33,1,11,0,1-2 Year,Yes,55693,231,0
1841,Female,32,1,35,0,< 1 Year,No,28060,147,0
1842,Female,46,1,46,0,1-2 Year,Yes,33063,100,0
1843,Female,21,1,48,0,< 1 Year,Yes,2630,48,0
1844,Male,54,1,5,0,1-2 Year,Yes,33291,254,0
1845,Male,30,1,15,1,< 1 Year,No,38651,102,0
1846,Male,64,1,28,0,1-2 Year,Yes,34562,123,0
1847,Male,80,1,50,0,> 2 Years,Yes,2630,237,0
1848,Female,21,1,37,1,< 1 Year,No,26865,181,0
1849,Male,61,1,37,1,1-2 Year,Yes,34503,276,0
1850,Male,46,1,13,1,1-2 Year,No,29558,34,0
1851,Male,71,1,0,0,> 2 Years,Yes,2630,176,0
1852,Male,27,1,41,1,< 1 Year,No,25105,284,0
1853,Male,25,1,8,1,< 1 Year,No,45686,150,0
1854,Female,50,1,28,0,1-2 Year,Yes,38175,166,0
1855,Male,38,1,50,1,1-2 Year,No,34163,76,0
1856,Male,57,1,49,1,1-2 Year,No,2630,180,0
1857,Male,27,1,21,1,< 1 Year,No,26070,187,0
1858,Female,41,1,28,0,1-2 Year,Yes,25264,19,0
1859,Male,47,1,29,0,1-2 Year,Yes,26111,205,0
1860,Female,24,1,8,1,< 1 Year,No,22905,70,0
1861,Male,71,1,50,1,1-2 Year,No,51995,161,0
1862,Male,38,1,28,0,1-2 Year,Yes,2630,285,0
1863,Male,65,1,36,1,1-2 Year,No,31833,197,0
1864,Female,34,1,11,1,1-2 Year,No,29821,94,0
1865,Female,25,1,8,0,< 1 Year,Yes,24853,32,0
1866,Male,37,1,28,1,1-2 Year,No,2630,276,0
1867,Male,34,1,39,0,1-2 Year,Yes,30790,247,0
1868,Female,24,1,13,0,< 1 Year,Yes,29953,133,0
1869,Female,46,1,43,0,1-2 Year,Yes,2630,143,0
1870,Female,45,1,29,0,1-2 Year,Yes,2630,287,1
1871,Female,47,1,28,0,1-2 Year,No,32688,130,0
1872,Female,22,1,11,1,< 1 Year,No,24349,175,0
1873,Female,59,1,48,0,1-2 Year,Yes,2630,240,1
1874,Female,22,1,30,1,< 1 Year,No,23339,120,0
1875,Female,52,1,28,0,1-2 Year,Yes,38579,246,0
1876,Female,24,1,6,0,< 1 Year,Yes,52882,97,0
1877,Male,44,1,8,1,1-2 Year,No,36038,278,0
1878,Male,29,1,41,1,< 1 Year,No,37327,293,0
1879,Female,34,1,47,0,1-2 Year,No,26828,195,0
1880,Female,51,1,28,0,1-2 Year,Yes,2630,38,0
1881,Female,22,1,12,1,< 1 Year,No,27027,175,0
1882,Male,46,1,28,1,1-2 Year,No,29124,152,0
1883,Male,59,1,36,0,1-2 Year,Yes,43152,293,0
1884,Male,52,1,28,0,1-2 Year,Yes,2630,83,0
1885,Male,27,1,13,1,1-2 Year,No,22232,29,0
1886,Female,26,1,8,0,< 1 Year,Yes,2630,292,0
1887,Female,30,1,41,0,< 1 Year,Yes,34423,18,1
1888,Female,27,1,29,1,< 1 Year,No,28361,37,0
1889,Male,62,1,28,0,> 2 Years,Yes,39553,187,0
1890,Female,52,1,14,0,> 2 Years,Yes,2630,167,0
1891,Female,64,1,39,0,1-2 Year,Yes,33695,185,0
1892,Female,42,1,30,1,1-2 Year,No,27701,266,0
1893,Male,27,1,37,1,< 1 Year,No,33659,58,0
1894,Male,47,1,50,0,1-2 Year,Yes,51728,253,0
1895,Female,29,1,27,0,1-2 Year,Yes,2630,119,0
1896,Male,25,1,50,1,< 1 Year,No,45532,11,0
1897,Male,63,1,28,0,> 2 Years,Yes,34052,59,0
1898,Male,41,1,16,0,1-2 Year,Yes,28673,283,1
1899,Male,42,1,28,0,1-2 Year,Yes,24703,20,0
1900,Male,30,1,38,1,< 1 Year,No,27266,20,0
1901,Male,38,1,28,0,> 2 Years,Yes,44103,97,0
1902,Male,24,1,41,0,< 1 Year,Yes,2630,293,0
1903,Male,22,1,16,1,< 1 Year,Yes,50863,271,0
1904,Male,40,1,3,1,1-2 Year,No,35920,235,0
1905,Male,77,1,28,1,1-2 Year,Yes,50747,263,0
1906,Female,36,1,20,0,1-2 Year,Yes,2630,65,0
1907,Female,27,1,46,0,< 1 Year,Yes,2630,216,0
1908,Male,30,1,17,0,< 1 Year,No,40274,133,0
1909,Male,24,1,30,1,< 1 Year,No,22944,136,0
1910,Male,29,1,40,0,< 1 Year,Yes,19993,176,1
1911,Male,43,1,28,0,1-2 Year,Yes,47072,15,0
1912,Female,20,1,39,0,< 1 Year,Yes,36251,186,0
1913,Female,27,1,29,1,< 1 Year,No,26639,40,0
1914,Female,22,1,6,1,< 1 Year,No,31015,240,0
1915,Female,56,1,28,0,> 2 Years,Yes,70049,213,1
1916,Male,74,1,28,1,1-2 Year,No,24758,196,0
1917,Male,35,1,29,1,1-2 Year,No,55493,162,0
1918,Female,29,1,27,0,< 1 Year,Yes,2630,275,0
1919,Female,38,1,28,0,1-2 Year,Yes,37355,109,0
1920,Male,44,1,28,1,1-2 Year,No,44772,121,0
1921,Male,61,1,28,0,1-2 Year,Yes,31794,118,0
1922,Male,36,1,15,0,1-2 Year,Yes,35174,51,0
1923,Female,34,1,11,0,1-2 Year,Yes,27813,189,0
1924,Female,25,1,2,0,< 1 Year,Yes,45005,168,0
1925,Female,34,1,3,0,1-2 Year,Yes,38016,125,1
1926,Female,26,1,36,1,< 1 Year,No,33255,163,0
1927,Female,53,1,28,0,> 2 Years,Yes,50824,228,0
1928,Male,43,1,28,0,1-2 Year,Yes,30637,298,0
1929,Male,22,1,12,1,< 1 Year,No,29762,106,0
1930,Female,23,1,6,1,< 1 Year,No,31538,184,0
1931,Female,43,1,33,0,1-2 Year,Yes,2630,162,0
1932,Female,62,1,28,0,> 2 Years,Yes,60325,165,0
1933,Female,36,1,28,1,1-2 Year,No,35042,129,0
1934,Male,54,1,35,0,1-2 Year,Yes,27337,223,1
1935,Male,45,1,8,1,1-2 Year,No,27671,94,0
1936,Female,22,1,10,1,< 1 Year,No,23257,244,0
1937,Male,79,1,28,0,1-2 Year,Yes,56829,266,0
1938,Male,23,1,34,0,< 1 Year,Yes,28781,193,0
1939,Male,62,1,35,0,> 2 Years,Yes,41895,67,0
1940,Female,42,1,25,1,1-2 Year,No,32230,56,0
1941,Female,34,1,29,1,1-2 Year,No,2630,184,0
1942,Male,33,1,35,0,1-2 Year,Yes,23308,222,0
1943,Male,41,1,24,0,1-2 Year,Yes,28227,190,1
1944,Male,49,1,28,0,1-2 Year,Yes,39572,132,0
1945,Male,52,1,28,0,1-2 Year,Yes,54065,137,0
1946,Male,41,1,28,0,1-2 Year,Yes,38404,245,1
1947,Male,36,1,11,0,1-2 Year,Yes,2630,270,1
1948,Male,48,1,8,1,1-2 Year,No,34440,21,0
1949,Male,25,1,25,0,< 1 Year,No,47073,61,0
1950,Male,40,1,28,0,1-2 Year,Yes,32398,220,0
1951,Female,22,1,1,1,< 1 Year,No,2630,277,0
1952,Female,24,1,37,0,< 1 Year,No,30862,261,0
1953,Female,47,1,7,0,1-2 Year,Yes,2630,155,0
1954,Male,50,1,28,1,1-2 Year,No,26216,234,0
1955,Male,59,1,28,1,1-2 Year,Yes,36986,168,0
1956,Female,20,1,13,0,< 1 Year,Yes,31260,99,0
1957,Male,29,1,46,1,< 1 Year,No,19635,47,0
1958,Female,29,1,37,1,< 1 Year,No,31280,283,0
1959,Female,22,1,9,0,< 1 Year,No,33229,298,0
1960,Female,23,1,45,1,< 1 Year,No,32053,280,0
1961,Male,35,1,28,0,1-2 Year,Yes,26996,139,0
1962,Female,41,1,28,1,1-2 Year,No,67251,291,0
1963,Female,36,1,46,1,1-2 Year,No,26871,270,0
1964,Male,24,1,5,1,< 1 Year,No,2630,200,0
1965,Male,63,1,28,0,1-2 Year,Yes,53828,103,0
1966,Male,52,1,28,0,1-2 Year,Yes,31445,223,1
1967,Female,37,1,28,0,1-2 Year,Yes,37740,194,0
1968,Male,38,1,39,1,1-2 Year,No,34502,279,0
1969,Female,28,1,28,0,1-2 Year,Yes,2630,168,0
1970,Female,28,1,17,1,< 1 Year,No,34992,262,0
1971,Male,25,1,50,1,< 1 Year,No,39970,214,0
1972,Male,36,1,28,0,1-2 Year,No,47285,165,0
1973,Female,44,1,28,0,1-2 Year,Yes,30828,163,0
1974,Male,35,1,28,0,1-2 Year,Yes,26954,71,1
1975,Female,78,1,28,0,1-2 Year,Yes,45058,14,0
1976,Female,34,1,30,0,1-2 Year,Yes,21815,167,0
1977,Female,28,1,30,1,< 1 Year,No,39328,216,0
1978,Female,24,1,15,1,< 1 Year,Yes,58815,278,0
1979,Female,57,1,28,0,> 2 Years,Yes,27957,55,0
1980,Male,44,1,8,0,1-2 Year,Yes,39707,127,0
1981,Male,24,1,8,1,< 1 Year,No,37950,27,0
1982,Female,47,1,28,0,1-2 Year,Yes,36208,95,0
1983,Female,53,1,7,0,1-2 Year,Yes,40793,106,1
1984,Female,42,1,25,0,1-2 Year,Yes,41624,182,0
1985,Female,41,1,50,0,1-2 Year,Yes,37052,183,0
1986,Male,57,1,12,1,1-2 Year,No,44150,23,0
1987,Female,36,1,3,0,1-2 Year,Yes,30770,33,0
1988,Female,51,1,28,0,1-2 Year,Yes,39698,117,1
1989,Male,24,1,41,1,< 1 Year,No,34678,161,0
1990,Male,48,1,39,0,1-2 Year,Yes,34654,74,0
1991,Male,66,0,8,0,1-2 Year,No,48063,231,0
1992,Male,21,1,22,1,< 1 Year,No,2630,181,0
1993,Male,60,1,11,0,1-2 Year,Yes,33291,163,0
1994,Female,23,1,29,1,< 1 Year,No,19944,153,0
1995,Male,66,1,36,1,1-2 Year,No,40181,75,0
1996,Male,22,1,46,1,< 1 Year,No,30883,95,0
1997,Male,56,1,19,0,1-2 Year,Yes,34610,294,0
1998,Male,68,1,5,0,1-2 Year,Yes,2630,286,0
1999,Male,24,1,35,1,< 1 Year,No,32173,31,0
2000,Female,61,1,28,0,> 2 Years,Yes,37107,239,0
2001,Male,46,1,28,0,1-2 Year,Yes,2630,242,0
2002,Male,29,1,28,0,< 1 Year,Yes,56352,295,0
2003,Female,52,1,12,0,1-2 Year,Yes,2630,217,1
